Open,High,Low,Close,Adj Close,Volume
73.18000030517578,73.41999816894531,72.30000305175781,72.41000366210938,60.55870819091797,3016800
72.20999908447266,72.81999969482422,71.61000061035156,71.80000305175781,60.04853057861328,2235700
71.68000030517578,71.9800033569336,70.91999816894531,70.94999694824219,59.33765411376953,3392100
71.12000274658203,71.30999755859375,70.30999755859375,70.80000305175781,59.21220016479492,2967900
70.83000183105469,71.52999877929688,70.80000305175781,71.41999816894531,59.730743408203125,5715500
71.30000305175781,71.4000015258789,70.26000213623047,70.58000183105469,59.02821731567383,4323700
70.30999755859375,70.36000061035156,69.4000015258789,69.5,58.1249885559082,3978400
69.58999633789062,69.81999969482422,68.37999725341797,68.7300033569336,57.481014251708984,2794200
68.47000122070312,68.5,67.2300033569336,67.45999908447266,56.41885757446289,6646900
67.75,67.93000030517578,67.11000061035156,67.5,56.45232009887695,3999900
68.18000030517578,68.55000305175781,67.73999786376953,68.25,57.079559326171875,2934700
68.58000183105469,68.58999633789062,67.55999755859375,67.80000305175781,56.70322036743164,2704800
68.08999633789062,68.22000122070312,67.55999755859375,67.76000213623047,56.66975784301758,3221600
68.37000274658203,68.77999877929688,68.04000091552734,68.12999725341797,56.97920227050781,4622500
68.3499984741211,69.45999908447266,68.12999725341797,68.7699966430664,57.51445388793945,3888500
68.76000213623047,68.87999725341797,68.38999938964844,68.4800033569336,57.27191925048828,3519600
68.47000122070312,69.80000305175781,68.33000183105469,69.69999694824219,58.292240142822266,3721100
69.58000183105469,69.7300033569336,68.31999969482422,68.75,57.497737884521484,4900600
68.5199966430664,68.62000274658203,67.66999816894531,67.9000015258789,56.78684616088867,5796100
67.97000122070312,68.72000122070312,67.97000122070312,68.3499984741211,57.1632080078125,4216000
68.45999908447266,68.8499984741211,67.80999755859375,68.77999877929688,57.52280807495117,3754400
68.73999786376953,68.9800033569336,67.66000366210938,67.83999633789062,56.73667526245117,2968600
67.73999786376953,68.2300033569336,67.5199966430664,67.75,56.66139221191406,2800200
67.81999969482422,68.41999816894531,66.30000305175781,66.4800033569336,55.59926223754883,4146500
65.44999694824219,65.87000274658203,63.939998626708984,64.91000366210938,54.286216735839844,7872400
64.91999816894531,65.44000244140625,64.36000061035156,64.44999694824219,53.90150833129883,5927700
63.59000015258789,64.83000183105469,63.31999969482422,63.380001068115234,53.52149963378906,4464700
63.540000915527344,65.19000244140625,63.38999938964844,64.72000122070312,54.653072357177734,4761500
64.68000030517578,65.16000366210938,64.20999908447266,64.80000305175781,54.72062683105469,3538200
64.80999755859375,65.81999969482422,64.19000244140625,65.58000183105469,55.379295349121094,3859200
65.16000366210938,65.80000305175781,64.58999633789062,65.30000305175781,55.142860412597656,5756000
65.43000030517578,66.68000030517578,65.30999755859375,66.68000030517578,56.30820083618164,3870400
66.62000274658203,67.5199966430664,66.52999877929688,67.26000213623047,56.79798889160156,3559500
67.01000213623047,67.41000366210938,65.95999908447266,66.37000274658203,56.04642105102539,2750100
66.5,67.20999908447266,65.55999755859375,65.58000183105469,55.379295349121094,3570400
65.73999786376953,66.20999908447266,65.43000030517578,65.68000030517578,55.463741302490234,2639100
65.72000122070312,67.5,65.6500015258789,67.37000274658203,56.890865325927734,2401000
67.69000244140625,67.76000213623047,66.80999755859375,66.97000122070312,56.55308151245117,2088200
67.04000091552734,67.5,65.87999725341797,65.94999694824219,55.691741943359375,3678000
66.23999786376953,66.55999755859375,65.55999755859375,65.58000183105469,55.379295349121094,2935300
65.6500015258789,66.7300033569336,65.23999786376953,65.62000274658203,55.413082122802734,3568000
65.73999786376953,66.3499984741211,64.5999984741211,65.18000030517578,55.04151153564453,4418700
65.08999633789062,66.72000122070312,64.83000183105469,66.48999786376953,56.14774703979492,2720200
66.3499984741211,66.38999938964844,65.18000030517578,65.5,55.31175231933594,3507700
65.3499984741211,65.5199966430664,64.6500015258789,64.91999816894531,54.821956634521484,3071000
65.04000091552734,65.58000183105469,65.0,65.30000305175781,55.142860412597656,2346300
65.3499984741211,65.68000030517578,65.08000183105469,65.6500015258789,55.438411712646484,3379800
65.73999786376953,65.98999786376953,65.58000183105469,65.87000274658203,55.62419891357422,3190400
66.01000213623047,66.3499984741211,65.56999969482422,66.04000091552734,55.76774978637695,3006400
66.2300033569336,66.93000030517578,66.11000061035156,66.58999633789062,56.232200622558594,3138900
66.58999633789062,67.58000183105469,66.5,66.98999786376953,56.569976806640625,4182500
67.08999633789062,67.91999816894531,67.06999969482422,67.80999755859375,57.26243209838867,6399400
67.69000244140625,68.16000366210938,67.11000061035156,67.44999694824219,56.958431243896484,2595600
67.20999908447266,67.86000061035156,67.18000030517578,67.44999694824219,56.958431243896484,2496400
67.44999694824219,67.93000030517578,66.72000122070312,66.91000366210938,56.50242614746094,2805300
67.02999877929688,68.33999633789062,66.86000061035156,67.36000061035156,56.882423400878906,3137500
67.43000030517578,67.97000122070312,66.25,66.38999938964844,56.063316345214844,3111800
66.81999969482422,67.51000213623047,66.55999755859375,67.30999755859375,56.84020233154297,2917800
67.30999755859375,68.9800033569336,67.05000305175781,68.43000030517578,57.78599166870117,3484400
68.62999725341797,68.91999816894531,68.02999877929688,68.66000366210938,57.980220794677734,3274700
68.70999908447266,69.23999786376953,68.5,68.58999633789062,57.92109298706055,2238900
